FOVY,376,,,,
Y1,-0.04802,Y2,-0.048,Y3,-0.0479
43.316,0.073,42.282,0.074,241.205,0.009
46.003,0.056,44.973,0.054,243.854,0.02
48.757,0.038,47.725,0.036,246.581,0.017
50.612,0.011,49.574,0.011,248.436,0.001
53.595,-0.012,52.555,-0.012,251.395,-0.012
56.711,-0.03,55.678,-0.03,254.485,-0.015
60.071,-0.04,59.031,-0.043,257.83,-0.011
62.4,-0.047,61.363,-0.053,260.134,-0.014
65.644,-0.065,64.616,-0.071,263.384,-0.025
68.624,-0.08,67.582,-0.087,266.34,-0.039
72.168,-0.085,71.131,-0.088,269.876,-0.041
75.668,-0.07,74.622,-0.078,273.373,-0.027
79.403,-0.041,78.371,-0.051,277.094,-0.011
82.822,-0.016,81.787,-0.03,280.543,0.004
85.822,0.002,84.784,-0.012,283.53,-0.005
90.13,0.011,89.092,0.005,287.875,-0.012
93.665,0.011,92.605,0.022,291.409,-0.029
97.31,0.007,96.213,0.034,295.039,-0.025
100.841,0.019,99.751,0.044,298.535,-0.005
104.13,0.053,103.073,0.063,301.826,0.046
107.176,0.104,106.121,0.099,304.829,0.116
